latex,ex,t1_2,i,m_nm,z
$^{84}_{35}Br$,0,31.8 m,2-,1.9(7),35
$^{75}_{36}Kr$,0,4.3 m,5/2+,-0.531(4) d,36
$^{77}_{36}Kr$,0,74.4 m,5/2+,-0.583(3) d,36
$^{78}_{36}Kr$,455,22 ps,2+,+1.08(10),36
$^{79}_{36}Kr$,0,35.04 h,1/2-,+0.536(2) d,36
$^{81}_{36}Kr$,0,2.3 x 10*5 y,7/2+,-0.908(2) d,36
$^{83}_{36}Kr$,0,stable,9/2+,-0.970669(3),36
$^{84}_{36}Kr$,3236,1.84 μs,8+,-1.97(2),36
$^{85}_{36}Kr$,0,10.76 y,9/2+,-1.005(2) d,36
$^{87}_{36}Kr$,0,76.3 m,5/2+,-1.018(5),36
$^{89}_{36}Kr$,0,3.15 m,3/2+,-0.330(3) d,36
$^{91}_{36}Kr$,0,8.57 s,5/2+,-0.583(2) d,36
$^{93}_{36}Kr$,0,1.286 s,1/2+,-0.413(2) d,36
$^{95}_{36}Kr$,0,0.78 s,1/2+,-0.410(3) d,36
$^{76}_{37}Rb$,0,39 s,1(-),-0.3726228(14),37
$^{77}_{37}Rb$,0,3.8 m,3/2-,+0.6544680(16),37
$^{78}_{37}Rb$,103,6.3 m,4-,+2.549(2),37
$^{79}_{37}Rb$,0,23 m,5/2+,+3.3579(12),37
$^{79}_{37}Rb$,97,18.6 ns,9/2+,+5.03(7),37
$^{80}_{37}Rb$,0,30 s,1+,-0.0836(6),37
$^{81}_{37}Rb$,0,4.58 h,3/2-,+2.0595(14),37
$^{82}_{37}Rb$,0,1.25 m,1+,+0.5545083(11),37
$^{83}_{37}Rb$,0,86.2 d,5/2-,+1.4249(8),37
$^{84}_{37}Rb$,0,33 d,2-,-1.324116(2),37
$^{85}_{37}Rb$,0,stable,5/2-,+1.35298(10),37
$^{86}_{37}Rb$,0,18.65 d,2-,-1.6920(14),37
$^{87}_{37}Rb$,0,4.9 10*10y,3/2-,+2.75131(12),37
$^{88}_{37}Rb$,0,17.7 m,2-,0.508(5),37
$^{89}_{37}Rb$,0,15.2 m,3/2-,+2.3836(7),37
$^{90}_{37}Rb$,107,4.26 m,3-,+1.6160(6),37
$^{91}_{37}Rb$,0,58 s,3/2(-),+2.1815(15),37
$^{93}_{37}Rb$,0,5.85 s,5/2-,+1.410(2),37
$^{94}_{37}Rb$,0,2.73 s,3(-),+1.498(2),37
$^{95}_{37}Rb$,0,0.38 s,5/2-,+1.334(3),37
$^{96}_{37}Rb$,0,0.20 s,2+,+1.466(2),37
$^{97}_{37}Rb$,0,0.17 s,3/2-,+1.841(2),37
$^{77}_{38}Sr$,0,9 s,5/2+,-0.348(4),38
$^{79}_{38}Sr$,0,2.25 m,(3/2-),-0.474(4),38
$^{81}_{38}Sr$,0,22.3 m,1/2-,+0.543(4),38
$^{82}_{38}Sr$,2817,3.0 ps,5-,+2(2),38
$^{83}_{38}Sr$,0,32.4 h,7/2+,-0.829(2),38
$^{84}_{38}Sr$,793,3.2 ps,2+,+0.84(9),38
$^{85}_{38}Sr$,0,64.8 d,9/2+,-1.000(2),38
$^{86}_{38}Sr$,1077,1.46 ps,2+,+0.55(10),38
$^{87}_{38}Sr$,0,stable,9/2+,-1.0928(7),38
$^{88}_{38}Sr$,1836,0.152 ps,2+,+2.3(3),38
$^{89}_{38}Sr$,0,50.5 d,5/2+,-1.147(2),38
$^{91}_{38}Sr$,0,9.5 h,5/2+,-0.885(2),38
$^{93}_{38}Sr$,0,7.4 m,5/2+,-0.793(2),38
$^{95}_{38}Sr$,0,10.3 m,1/2-,-0.537(2),38
$^{97}_{38}Sr$,0,0.40 s,1/2-,-0.498(2),38
$^{98}_{38}Sr$,144,2.8 ns,2+,0.76(14),38
$^{99}_{38}Sr$,0,0.269 s,3/2+,-0.261(5),38
$^{83}_{39}Y$,145,171 ps,7/2+,+2.1(6),39
$^{85}_{39}Y$,20,4.9 h,9/2+,6.2(5),39
$^{86}_{39}Y$,0,14.5 h,4-,<0.6,39
$^{87}_{39}Y$,381,12.7 h,9/2+,6.06(7),39
$^{88}_{39}Y$,675,14 ms,8+,+4.87(5),39
$^{89}_{39}Y$,0,stable,1/2-,-0.1374154(3),39
$^{90}_{39}Y$,0,64.1 h,2-,-1.630(8),39
$^{91}_{39}Y$,0,58.5 d,1/2-,0.1641(8),39
