-------------------------------------------------------------------
  Nuclide     Energy   Intensity  Decay   Half-life   Effective    
 99-Es-257      49.0    * 17.     B-      7.7      D   * 1.77E-07  
 30-Zn- 74      49.09     32.55   B-      95.6     S     2.36E-03  
 94-Pu-235      49.1       2.36   EC      25.3     M     1.08E-05  
 95-Am-242      49.35      0.13   Alpha   141      Y     2.03E-13  
 65-Tb-151      49.46     22.42   IT      25       S     6.22E-03  
 66-Dy-151      49.46     17.98   EC      17.9     M     1.16E-04  
 92-U -236      49.46      0.08   Alpha   2.342E7  Y     7.50E-19  
 37-Rb- 81      49.5       0.74   EC      30.5     M     2.80E-06  
 34-Se- 70      49.51     35.79   B+      41.1     M     1.01E-04  
 92-U -238      49.55      0.06   Alpha   4.468E+9 Y     2.95E-21  
 73-Ta-171      49.6    *100.     EC      23.3     M   * 4.96E-04  
 77-Ir-173      49.6   ~* 29.04   EC      2.20     S  ~* 9.15E-02  
 77-Ir-173      49.6   ~* 62.31   EC      9.0      S  ~* 4.80E-02  
 65-Tb-156      49.63     73.7    IT      24.4     H     5.82E-06  
 52-Te-132      49.72     14.96   B-      3.204    D     3.75E-07  
 42-Mo- 86      49.8    *100.     EC      19.6     S   * 3.54E-02  
 79-Au-199      49.83      0.36   B-      3.139    D     9.20E-09  
 52-Te-135      50.0       4.51   IT      0.511   US     6.12E+04  
 59-Pr-153      50.0      14.     B-      4.28     S     2.27E-02  
100-Fm-249      50.        --     Alpha   2.6      M          N/A  
 87-Fr-223      50.09     33.9    B-      22.00    M     1.78E-04  
" 11-Na- 33      50.1       1.8    B-,2N   8.0     MS     1.56E+00  "
 41-Nb- 85      50.12   *100.     B+      20.9     S   * 3.32E-02  
 90-Th-227      50.13     11.38   Alpha   18.68    D     4.89E-08  
 11-Na- 31      50.5      20.     B-      17.0    MS     8.15E+00  
" 11-Na- 32      50.5   ?  13.99   B-,N    13.2    MS  ?  7.35E+00  "
 98-Cf-245      50.6       --     Alpha   46.4     M          N/A  
 64-Gd-159      50.7       2.35   IT      26.2    NS     6.22E+05  
 70-Yb-153      50.8      54.72   IT      15      US     2.53E+04  
 79-Au-203      50.8       0.83   B-      60       S     9.59E-05  
 67-Ho-160      51.15     21.5    IT      3        S     4.97E-02  
 55-Cs-130      51.18      7.03   IT      3.46     M     2.35E-04  
 45-Rh-104      51.42     48.28   IT      4.34     M     1.29E-03  
 94-Pu-239      51.62      0.03   Alpha   24110    Y     2.73E-16  
 64-Gd-153      51.78      4.5    IT      3.5     US     8.91E+03  
 64-Gd-153      51.78      4.5    IT      76.0    US     4.10E+02  
 45-Rh- 96      52.0       0.09   IT      1.51     M     6.89E-06  
 99-Es-252      52.33      0.56   Alpha   471.7    D     9.52E-11  
 67-Ho-156      52.37      0.02   IT      9.5      S     1.46E-05  
 81-Tl-183      52.4       0.1    Alpha   53.3    MS     1.30E-02  
 74-W -183      52.60      6.76   IT      5.2      S     9.01E-03  
 41-Nb- 83      52.70      --     EC      4.1      S          N/A  
 57-La-132      52.8       0.04   IT      24.3     M     1.90E-07  
 68-Er-157      53.05  ~  24.14   EC      18.65    M  ~  1.50E-04  
 78-Pt-197      53.10      1.09   IT      95.41    M     1.32E-06  
 92-U -234      53.20      0.12   Alpha   2.455E+5 Y     1.07E-16  
 92-U -231      53.23    2.E-05   Alpha   4.2      D          N/A  
 33-As- 73      53.44  ?  10.34   EC      80.30    D  ?  1.03E-08  
 54-Xe-118      53.5    *100.     B+      3.8      M   * 3.04E-03  
 32-Ge- 73      53.53  ?  10.34   IT      0.499    S  ?  1.44E-01  
 62-Sm-138      53.6       --     EC      3.1      M          N/A  
 71-Lu-163      54.00   * 88.     EC      3.97     M   * 2.56E-03  
 66-Dy-166      54.24      0.81   B-      81.6     H     1.91E-08  
 79-Au-182      54.4       --     Alpha   15.5     S          N/A  
 65-Tb-157      54.5     8.E-03   EC      71       Y          N/A  
 11-Na- 29      54.6   >*115.     B-      44.9    MS  >* 1.78E+01  
" 11-Na- 31      54.6       --     B-,2N   17.0    MS          N/A  "
 46-Pd- 94      54.6    * 11.     EC      9.0      S   * 8.47E-03  
 92-U -233      54.70      0.02   Alpha   159.2E3  Y     2.76E-17  
 54-Xe-125      54.97      6.78   EC      16.9     H     7.72E-07  
 10-Ne- 28      55.       14.6    B-      18.9    MS     5.35E+00  
 87-Fr-216      55.0   ~   0.03   Alpha   0.70    US  ~  2.97E+02  
 65-Tb-158      55.04     36.75   IT      0.40    MS     6.37E+02  
 79-Au-199      55.15      --     IT      0.44    MS          N/A  
 40-Zr- 83      55.54      7.5    EC      41.6     S     1.25E-03  
 92-U -242      55.58      3.9    B-      16.8     M     2.68E-05  
 56-Ba-148      56.08     29.2    B-      0.612    S     3.31E-01  
 98-Cf-245      56.1       --     Alpha   46.4     M          N/A  
 56-Ba-127      56.2      16.     IT      1.9      S     5.84E-02  
 57-La-127      56.2      12.5    B+      3.7      M     3.90E-04  
 67-Ho-144      56.4      44.     IT      506     NS     6.03E+05  
 91-Pa-227      56.45   *  5.55   EC      38.3     M   * 1.67E-05  
 31-Ga- 74      56.5       --     IT      9.5      S          N/A  
 30-Zn- 74      56.56     18.     B-      95.6     S     1.31E-03  
 67-Ho-164      56.64      6.6    IT      37.5     M     2.03E-05  
 77-Ir-192      56.71      --     IT      1.45     M          N/A  
 69-Tm-167      57.07      4.67   EC      9.25     D     4.05E-08  
 35-Br- 76      57.11      9.07   IT      1.31     S     4.80E-02  
 65-Tb-167      57.2       --     B-      19.4     S          N/A  
