-------------------------------------------------------------------
  Nuclide     Energy   Intensity  Decay   Half-life   Effective    
 18-Ar- 43     738.1      15.46   B-      5.37     M     3.33E-04  
 85-At-203     738.1       7.68   EC      7.4      M     1.20E-04  
" 52-Te-137     738.2       --     B-,N    2.49     S          N/A  "
 60-Nd-139     738.2      35.28   EC      5.50     H     1.24E-05  
 27-Co- 74     739.        --     B-      30      MS          N/A  
 86-Rn-227     739.16   *279.     B-      20.8     S   * 9.30E-02  
 31-Ga- 73     739.42      4.23   B-      4.86     H     1.68E-06  
 42-Mo- 99     739.50     12.26   B-      65.976   H     3.58E-07  
 53-I -130     739.51     82.17   B-      12.36    H     1.28E-05  
 46-Pd-113     739.63      4.8    B-      93       S     3.58E-04  
 71-Lu-171     739.79     47.9    EC      8.24     D     4.66E-07  
 49-In-103     739.8      16.     EC      60       S     1.85E-03  
 59-Pr-127     740.        --     B+      4.2      S          N/A  
 71-Lu-164     740.52   * 36.     EC      3.14     M   * 1.32E-03  
 43-Tc- 88     740.53      --     EC      5.8      S          N/A  
 43-Tc- 88     740.53      --     EC      6.4      S          N/A  
 62-Sm-162     741.1       --     B-      2.4      S          N/A  
 67-Ho-168     741.30     35.97   B-      2.99     M     1.39E-03  
 61-Pm-143     741.98     38.5    EC      265      D     1.17E-08  
 59-Pr-143     742.10    1.E-06   B-      13.57    D          N/A  
 84-Po-207     742.72     28.42   EC      5.80     H     9.43E-06  
 85-At-211     742.72    1.E-03   Alpha   7.214    H          N/A  
 57-La-122     742.8       --     EC      8.6      S          N/A  
 91-Pa-234     742.81      0.11   B-      1.159    M     1.10E-05  
 65-Tb-144     743.0      21.     EC      1        S     1.46E-01  
 65-Tb-144     743.0    * 18.7    EC      4.25     S   * 3.05E-02  
 75-Re-172     743.0    * 26.     EC      55       S   * 3.28E-03  
 51-Sb-128     743.24     96.4    B-      10.4     M     1.07E-03  
 51-Sb-128     743.3     100.     B-      9.01     H     2.14E-05  
 40-Zr- 97     743.36     93.09   B-      16.749   H     1.07E-05  
 41-Nb- 97     743.36     97.9    IT      58.7     S     1.16E-02  
 53-I -128     743.5       0.12   EC      24.99    M     5.55E-07  
 33-As- 70     743.62     22.14   EC      52.6     M     4.86E-05  
 95-Am-244     743.97     66.     B-      10.1     H     1.26E-05  
 25-Mn- 52     744.23     90.     EC      5.591    D     1.29E-06  
 43-Tc- 98     745.35    102.     B-      4.2E+6   Y     5.33E-15  
 45-Rh- 98     745.4       8.8    EC      3.6      M     2.82E-04  
 86-Rn-209     745.78     22.79   EC      28.5     M     9.24E-05  
 83-Bi-215     746.6       --     IT      36.4     S          N/A  
 25-Mn- 64     746.7      45.     B-      90      MS     3.47E+00  
 86-Rn-207     747.15     14.2    EC      9.25     M     1.77E-04  
 63-Eu-146     747.16     98.5    EC      4.59     D     1.72E-06  
 61-Pm-146     747.24     33.99   B-      5.53     Y     1.35E-09  
 62-Sm-136     747.7       5.4    EC      47       S     7.96E-04  
 49-In-114     747.8   < 2.E-04   EC      71.9     S  <       N/A  
 59-Pr-145     748.28      0.53   B-      5.984    H     1.71E-07  
 46-Pd-115     749.        9.2    B-      50       S     1.28E-03  
 81-Tl-194     749.0      76.     EC      32.8     M     2.68E-04  
 25-Mn- 51     749.07      0.27   EC      46.2     M     6.75E-07  
 38-Sr- 91     749.8      23.68   B-      9.63     H     4.73E-06  
 64-Gd-140     749.9      11.     EC      15.8     S     4.83E-03  
 28-Ni- 56     749.95     49.5    EC      6.075    D     6.54E-07  
 86-Rn-225     750.15     11.87   B-      4.66     M     2.94E-04  
 49-In-101     750.3    * 61.     B+      16       S   * 2.64E-02  
 47-Ag-100     750.8      78.05   EC      2.01     M     4.49E-03  
 47-Ag-100     750.8   <  25.8    EC      2.24     M  <  1.33E-03  
 75-Re-192     750.96   * 25.     B-      16       S   * 1.08E-02  
 41-Nb- 86     751.74   *100.     EC      --           *      N/A  
 59-Pr-140     751.8       0.03   EC      3.39     M     1.02E-06  
 73-Ta-168     751.81      7.59   EC      2.0      M     4.38E-04  
" 42-Mo- 87     752.       15.     EC,P    13.4     S     7.76E-03  "
 25-Mn- 48     752.1      99.7    B+      158.1   MS     4.37E+00  
 83-Bi-204     752.1      96.8    IT      1.07    MS     6.27E+02  
 26-Fe- 49     752.15     41.93   B+P     70      MS     4.15E+00  
 52-Te-109     752.3      26.24   EC      4.6      S     3.95E-02  
 13-Al- 31     752.43      5.2    B-      644     MS     5.60E-02  
 61-Pm-134     753.8      18.5    EC      5        S     2.56E-02  
 53-I -126     753.82      4.15   EC      12.93    D     2.57E-08  
 51-Sb-128     753.90     96.4    B-      10.4     M     1.07E-03  
 51-Sb-128     754.0     100.     B-      9.01     H     2.14E-05  
 58-Ce-139     754.24  ?  92.45   IT      54.8     S  ?  1.17E-02  
 62-Sm-143     754.4      89.88   IT      66       S     9.44E-03  
 65-Tb-164     754.77     23.1    B-      3.0      M     8.90E-04  
 32-Ge- 79     755.       18.43   B-      39.0     S     3.28E-03  
 97-Bk-243     755.     *  9.99   EC      4.5      H   * 4.27E-06  
 33-As- 82     755.2       1.7    B-      19.1     S     6.17E-04  
 21-Sc- 40     755.6      40.81   EC      182.3   MS     1.55E+00  
 46-Pd- 95     756.        0.9    B+P     13.3     S     4.69E-04  
 39-Y - 80     756.2   ~   2.01   EC      4.8      S  ~  2.90E-03  
 45-Rh- 94     756.2      51.     EC      70.6     S     5.01E-03  
 45-Rh- 94     756.2     100.     EC      25.8     S     2.69E-02  
 94-Pu-235     756.4       0.48   EC      25.3     M     2.19E-06  
 60-Nd-141     756.51     91.35   IT      62.0     S     1.02E-02  
 40-Zr- 95     756.73     54.38   B-      64.032   D     6.81E-08  
 67-Ho-172     757.2      17.64   B-      25       S     4.89E-03  
 51-Sb-129     758.        --     B-      17.7     M          N/A  
 24-Cr- 60     758.2       --     B-      0.49     S          N/A  
 82-Pb-188     758.2      33.56   EC      25.1     S     9.27E-03  
 55-Cs-144     758.96   * 20.6    B-      0.994    S   * 1.44E-01  
 47-Ag-122     759.70     32.57   B-      0.529    S     4.27E-01  
 47-Ag-122     759.70   * 43.5    B-      --           *      N/A  
 57-La-148     760.30      8.56   B-      1.26     S     4.71E-02  
 57-La-136     760.50      0.29   EC      9.87     M     3.39E-06  
 50-Sn-129     760.8      15.6    B-      6.9      M     2.61E-04  
 16-S - 41     761.0       --     B-      1.99     S          N/A  
 51-Sb-129     761.        --     B-      17.7     M          N/A  
 67-Ho-169     761.0      10.37   B-      4.72     M     2.54E-04  
 82-Pb-197     761.14     13.32   EC      8        M     1.92E-04  
 17-Cl- 43     761.6    *100.     B-      3.07     S   * 2.26E-01  
 33-As- 68     761.8      33.56   EC      151.6    S     1.53E-03  
 50-Sn-111     761.97      1.48   EC      35.3     M     4.84E-06  
 46-Pd- 96     762.3      50.52   EC      122      S     2.87E-03  
 58-Ce-136     762.3    *100.     IT      2.2     US   * 3.15E+05  
 58-Ce-137     762.30      0.2    EC      34.4     H     1.12E-08  
 67-Ho-164     762.4   ~ 5.E-04   EC      29       M  ~       N/A  
 38-Sr- 83     762.65     30.     B+      32.41    H     1.78E-06  
 49-In-119     763.14     92.     B-      2.4      M     4.43E-03  
 59-Pr-134     763.2    *100.     EC      11       M   * 1.05E-03  
 36-Kr- 94     764.5    * 71.     B-      212     MS   * 2.32E+00  
 27-Co- 50     764.8      24.     EC      38.8    MS     4.29E+00  
 31-Ga- 84     765.1       --     B-      --                  N/A  
" 28-Ni- 51     765.3      63.66   EC,P    23.8    MS     1.85E+01  "
 79-Au-186     765.4      10.54   EC      10.7     M     1.14E-04  
 43-Tc- 95     765.79     93.82   EC      20.0     H     9.03E-06  
 41-Nb- 95     765.80     99.81   B-      34.991   D     2.29E-07  
 69-Tm-153     765.8       1.92   EC      1.48     S     8.99E-03  
 91-Pa-234     766.42      0.32   B-      1.159    M     3.19E-05  
 68-Er-174     766.9      10.45   B-      3.2      M     3.77E-04  
 84-Po-192     767.        --     Alpha   0.0332   S          N/A  
 45-Rh-104     767.1       0.01   B-      42.3     S     1.64E-06  
 52-Te-134     767.20     29.5    B-      41.8     M     8.15E-05  
 39-Y - 85     767.3       3.62   EC      4.86     H     1.43E-06  
 77-Ir-186     767.46     18.38   EC      1.90     H     1.86E-05  
 75-Re-186     767.47      0.03   B-      3.7183   D     6.47E-10  
 47-Ag-104     767.6      65.75   EC      69.2     M     1.10E-04  
 45-Rh-104     767.78    6.E-03   B-      4.34     M          N/A  
 63-Eu-142     768.0     100.     EC      1.223    M     9.45E-03  
 63-Eu-142     768.1      10.2    EC      2.34     S     3.02E-02  
 29-Cu- 57     768.5       0.94   B+      196.3   MS     3.32E-02  
 69-Tm-164     768.92      1.34   EC      2.0      M     7.74E-05  
 84-Po-196     769.        --     Alpha   5.73     S          N/A  
 35-Br- 92     769.2      47.     B-      0.343    S     9.50E-01  
 49-In-129     769.3       9.08   B-      0.61     S     1.03E-01  
 41-Nb- 89     769.6       6.18   EC      66       M     1.08E-05  
 25-Mn- 66     769.9       --     B-      65      MS          N/A  
 39-Y - 94     769.9      85.     IT      1.35    US     4.36E+05  
 52-Te-115     770.4      34.2    EC      6.7      M     5.90E-04  
 30-Zn- 65     770.6     3.E-03   EC      243.93   D          N/A  
 47-Ag-124     771.9    * 59.     B-      --           *      N/A  
 35-Br- 76     772.        0.55   EC      1.31     S     2.91E-03  
 30-Zn- 77     772.39      --     IT      1.05     S          N/A  
 53-I -132     772.60     75.6    B-      2.295    H     6.34E-05  
 53-I -132     772.60  ?  13.96   B-      1.387    H  ?  1.94E-05  
 54-Xe-132     772.6     100.     IT      8.39    MS     8.26E+01  
 72-Hf-165     772.7    *  1.4    EC      76       S   * 1.28E-04  
 68-Er-174     772.9       9.57   B-      3.2      M     3.45E-04  
 43-Tc- 92     773.0     100.     EC      4.25     M     2.72E-03  
 47-Ag-100     773.3      24.21   EC      2.01     M     1.39E-03  
 83-Bi-194     773.5    *  1.99   EC      95       S   * 1.45E-04  
 52-Te-131     773.67     36.82   B-      33.25    H     2.13E-06  
 60-Nd-140     773.74      --     IT      0.60    MS          N/A  
 61-Pm-140     773.74    100.     EC      5.95     M     1.94E-03  
 61-Pm-140     773.8       5.02   EC      9.2      S     3.78E-03  
 83-Bi-190     773.8    *100.     EC      --           *      N/A  
 49-In-130     774.37     44.72   B-      0.54     S     5.74E-01  
 27-Co- 71     774.4    * 35.     B-      80      MS   * 3.03E+00  
 32-Ge- 64     774.5       7.     EC      63.7     S     7.62E-04  
 53-I -114     774.9      14.56   B+      6.2      S     1.63E-02  
 35-Br- 88     775.28     61.66   B-      16.29    S     2.62E-02  
" 35-Br- 89     775.30     13.65   B-,N    4.40     S     2.15E-02  "
 76-Os-176     775.8    * 98.     EC      3.6      M   * 3.14E-03  
 83-Bi-195     776.2    * 95.     EC      --           *      N/A  
 35-Br- 82     776.52      0.26   B-      6.13     M     4.90E-06  
 35-Br- 82     776.52     83.4    B-      35.282   H     4.55E-06  
 37-Rb- 82     776.52     15.08   B+      1.2575   M     1.39E-03  
 37-Rb- 82     776.52     84.39   B+      6.472    H     2.51E-05  
 49-In-102     776.6     100.     EC      23.3     S     2.97E-02  
 83-Bi-196     776.6       9.12   EC      308      S     2.05E-04  
" 50-Sn-103     777.        --     EC,P    7.0      S          N/A  "
 62-Sm-141     777.4      20.31   EC      22.6     M     1.04E-04  
 45-Rh-112     777.5       3.64   B-      2.1      S     1.20E-02  
 42-Mo- 99     777.92      4.3    B-      65.976   H     1.25E-07  
 41-Nb- 96     778.22     96.45   B-      23.35    H     7.95E-06  
 43-Tc- 96     778.22      1.87   EC      51.5     M     4.19E-06  
 43-Tc- 96     778.22     99.76   EC      4.28     D     1.87E-06  
 87-Fr-208     778.5       7.44   EC      59.1     S     8.73E-04  
 61-Pm-155     778.6       7.8    B-      41.5     S     1.30E-03  
 84-Po-213     778.8     5.E-03   Alpha   4.2     US          N/A  
 69-Tm-166     778.81     19.1    EC      7.70     H     4.78E-06  
 63-Eu-152     778.90     12.96   B-      13.537   Y     2.10E-10  
 77-Ir-196     779.6      10.93   B-      52       S     1.46E-03  
 80-Hg-195     779.80      7.     EC      10.53    H     1.28E-06  
 19-K - 48     780.15     31.04   B-      6.8      S     3.16E-02  
 50-Sn-130     780.44     56.43   B-      3.72     M     1.75E-03  
 93-Np-242     780.44      2.76   B-      2.2      M     1.45E-04  
 16-S - 28     780.9       --     B+P     125     MS          N/A  
 85-At-209     781.9      83.53   EC      5.41     H     2.97E-05  
102-No-251     782.5       --     IT      2       US          N/A  
 23-V - 50     783.29     16.99   B-      1.4E+17  Y     2.67E-26  
 25-Mn- 50     783.3     100.     EC      1.75     M     6.60E-03  
 51-Sb-127     783.7      15.12   B-      3.85     D     3.15E-07  
 72-Hf-183     783.75     65.65   B-      1.067    H     1.18E-04  
 47-Ag-128     784.        --     B-      58      MS          N/A  
 65-Tb-148     784.43     84.     EC      60       M     1.62E-04  
 65-Tb-148     784.48    100.     EC      2.20     M     5.25E-03  
 99-Es-252     785.1      15.4    EC      471.7    D     2.62E-09  
 83-Bi-212     785.37      1.1    B-      60.55    M     2.10E-06  
 93-Np-242     785.7      59.     B-      5.5      M     1.24E-03  
 41-Nb- 95     786.19      0.01   B-      3.61     D     2.22E-10  
 81-Tl-192     786.3    * 31.7    EC      --           *      N/A  
 66-Dy-149     786.5       0.84   EC      0.490    S     1.19E-02  
 53-I -112     786.9       --     EC      3.42     S          N/A  
 54-Xe-135     786.9     4.E-03   B-      15.29    M          N/A  
 82-Pb-202     786.99     48.52   IT      3.54     H     2.64E-05  
 46-Pd-115     787.        --     B-      50       S          N/A  
 55-Cs-135     787.2      99.7    IT      53       M     2.17E-04  
 41-Nb- 98     787.36     93.4    B-      51.3     M     2.10E-04  
 41-Nb- 98     787.4      13.     B-      2.86     S     3.15E-02  
 45-Rh- 95     787.7       7.81   EC      1.96     M     4.60E-04  
 35-Br- 80     788.    <   0.01   EC      17.68    M  <  6.53E-08  
 67-Ho-169     788.4      21.36   B-      4.72     M     5.23E-04  
 59-Pr-138     788.7       2.4    EC      1.45     M     1.91E-04  
 59-Pr-138     788.7     100.     EC      2.12     H     9.08E-05  
 57-La-138     788.74     34.4    B-      1.02E+11 Y     7.41E-20  
 58-Ce-138     789.2      99.66   IT      8.65    MS     7.99E+01  
 68-Er-151     789.3       5.1    EC      0.58     S     6.09E-02  
 66-Dy-149     789.4      11.8    EC      4.20     M     3.25E-04  
 85-At-209     790.2      63.51   EC      5.41     H     2.26E-05  
 50-Sn-125     791.6    * 55.     IT      0.23    US   * 1.66E+06  
 39-Y - 97     791.7      69.37   IT      142     MS     3.39E+00  
 75-Re-184     792.07     37.68   EC      35.4     D     8.54E-08  
 46-Pd- 97     792.7      13.84   EC      3.10     M     5.16E-04  
 50-Sn-125     792.8    * 40.     IT      6.2     US   * 4.47E+04  
 32-Ge- 81     792.94     34.08   B-      7.6      S     3.11E-02  
 39-Y - 84     793.0      30.     EC      4.6      S     4.52E-02  
 39-Y - 84     793.1      98.3    EC      39.5     M     2.87E-04  
 53-I -122     793.28      1.33   EC      3.63     M     4.23E-05  
 51-Sb-130     793.4      86.     B-      6.3      M     1.58E-03  
 51-Sb-130     793.4     100.     B-      39.5     M     2.92E-04  
 52-Te-131     793.75     13.37   B-      33.25    H     7.74E-07  
 61-Pm-134     794.7      22.75   EC      5        S     3.15E-02  
 49-In-100     794.9      86.59   EC      5.9      S     1.02E-01  
 56-Ba-134     795.7       --     IT      2.63    US          N/A  
 55-Cs-134     795.86     85.46   B-      2.0652   Y     9.09E-09  
 65-Tb-149     796.0      96.98   EC      4.16     M     2.69E-03  
 25-Mn- 46     796.1       1.6    EC      36.2    MS     3.06E-01  
 69-Tm-149     796.2   ~*250.     EC      0.9      S  ~* 1.93E+00  
 48-Cd-107     796.46      0.06   EC      6.50     H     1.78E-08  
 45-Rh-110     796.7       5.35   B-      3.2      S     1.16E-02  
 26-Fe- 49     797.1      23.7    B+      64.7    MS     2.54E+00  
 27-Co- 50     797.3      26.99   B+P     38.81   MS     4.82E+00  
 50-Sn-131     798.50   * 86.     B-      --           *      N/A  
 69-Tm-162     798.68      5.18   EC      24.3     S     1.48E-03  
 69-Tm-162     798.68      8.38   EC      21.70    M     4.46E-05  
 97-Bk-246     798.7      61.     EC      1.80     D     2.72E-06  
 56-Ba-143     798.79     15.56   B-      14.5     S     7.44E-03  
 95-Am-246     798.80     24.8    B-      25.0     M     1.15E-04  
 64-Gd-143     798.89     10.71   EC      110.0    S     6.75E-04  
" 31-Ga- 84     798.9       --     B-,N    85      MS          N/A  "
 60-Nd-154     799.55     10.66   B-      25.9     S     2.85E-03  
 72-Hf-182     799.6       9.4    B-      61.5     M     1.77E-05  
 81-Tl-210     799.6      98.96   B-      1.30     M     8.79E-03  
 84-Po-214     799.7       0.01   Alpha   164.3   US     4.22E-01  
 23-V - 46     801.1     100.     IT      1.02    MS     6.80E+02  
 69-Tm-151     801.5      66.     EC      4.17     S     1.10E-01  
 35-Br- 88     802.14     12.85   B-      16.29    S     5.47E-03  
" 35-Br- 89     802.32      0.49   B-,N    4.40     S     7.72E-04  "
 35-Br- 85     802.41      2.56   B-      2.90     M     1.02E-04  
 81-Tl-206     803.06    5.E-03   B-      4.202    M          N/A  
 82-Pb-206     803.06     98.     IT      125     US     5.43E+03  
 84-Po-210     803.06    1.E-03   Alpha   138.376  D          N/A  
 83-Bi-206     803.10     99.     EC      6.243    D     1.27E-06  
 35-Br- 91     803.3    * 80.     B-      0.541    S   * 1.02E+00  
 67-Ho-150     803.3      99.51   EC      23.3     S     2.96E-02  
 67-Ho-150     803.7      90.     EC      72       S     8.66E-03  
 66-Dy-145     804.3      10.01   EC      14.1     S     4.92E-03  
 84-Po-216     804.9     2.E-03   Alpha   0.145    S          N/A  
 49-In-127     805.1       5.63   B-      1.09     S     3.58E-02  
 88-Ra-219     805.2       --     Alpha   10      MS          N/A  
 50-Sn-125     805.5    * 40.     IT      6.2     US   * 4.47E+04  
 54-Xe-140     805.52     20.     B-      13.60    S     1.02E-02  
 47-Ag- 99     805.6      12.55   B+      124      S     7.02E-04  
 83-Bi-213     807.36      0.29   B-      45.59    M     7.35E-07  
 65-Tb-162     807.53     42.8    B-      7.60     M     6.51E-04  
 83-Bi-195     807.6    *100.     EC      --           *      N/A  
 31-Ga- 64     807.85     14.54   EC      2.627    M     6.39E-04  
 20-Ca- 47     807.86      5.9    B-      4.536    D     1.04E-07  
 70-Yb-153     808.        --     B+P     4.2      S          N/A  
 71-Lu-182     808.1      15.     B-      2.0      M     8.66E-04  
 69-Tm-152     808.2     100.     EC      5.2      S     1.33E-01  
 69-Tm-152     808.3    *100.     EC      8.0      S   * 8.66E-02  
 32-Ge- 65     809.1      21.45   EC      30.9     S     4.81E-03  
 38-Sr- 96     809.40     71.91   B-      1.07     S     4.66E-01  
 37-Rb- 95     810.0   >   6.6    IT      500     NS  >  9.15E+04  
 73-Ta-166     810.0      10.93   EC      34.4     S     2.20E-03  
 67-Ho-166     810.29     56.88   B-      1.20E+3  Y     1.04E-11  
 18-Ar- 33     810.51     42.1    EC      173.0   MS     1.69E+00  
 56-Ba-134     810.7       --     IT      2.63    US          N/A  
 58-Ce-125     810.7       --     EC      9.7      S          N/A  
 25-Mn- 58     810.76     88.     B-      65.4     S     9.33E-03  
 27-Co- 58     810.76     99.45   EC      70.86    D     1.13E-07  
 69-Tm-162     811.52      6.48   EC      24.3     S     1.85E-03  
 63-Eu-156     811.77      9.7    B-      15.19    D     5.12E-08  
 28-Ni- 56     811.85     86.     EC      6.075    D     1.14E-06  
 35-Br- 80     812.2       0.04   EC      17.68    M     2.61E-07  
 67-Ho-170     812.3    *100.     B-      43       S   * 1.61E-02  
 43-Tc- 96     812.54     82.     EC      4.28     D     1.54E-06  
 36-Kr- 92     812.6      14.55   B-      1.840    S     5.48E-02  
 51-Sb-129     812.8      43.     B-      4.40     H     1.88E-05  
 79-Au-189     812.8    * 63.     EC      28.7     M   * 2.54E-04  
 37-Rb- 96     813.2       7.02   B-      203     MS     2.40E-01  
 99-Es-249     813.2       9.24   EC      102.2    M     1.04E-05  
 47-Ag- 94     813.8    *100.     EC      0.55     S   * 1.26E+00  
 52-Te-113     814.4      22.     EC      1.7      M     1.50E-03  
 84-Po-207     814.41     98.91   IT      2.79     S     2.46E-01  
 85-At-207     814.41     45.06   EC      1.81     H     4.79E-05  
" 37-Rb- 93     814.7       1.38   B-,N    5.84     S     1.64E-03  "
 37-Rb- 92     814.98     33.     B-      4.492    S     5.09E-02  
 27-Co- 68     815.0     100.05   B-      0.199    S     3.48E+00  
 28-Ni- 68     815.0      99.91   IT      0.86    MS     8.05E+02  
 37-Rb- 96     815.0      78.     B-      203     MS     2.66E+00  
" 37-Rb- 97     815.0    * 25.1    B-,N    169.9   MS   * 1.02E+00  "
 47-Ag-126     815.     * 60.     B-      107     MS   * 3.89E+00  
 84-Po-215     815.        --     Alpha   1.781   MS          N/A  
 47-Ag-110     815.5       0.04   B-      24.6     S     1.13E-05  
 57-La-140     815.77     23.28   B-      1.67855  D     1.11E-06  
 67-Ho-168     815.90     18.33   B-      2.99     M     7.08E-04  
 77-Ir-197     815.92   *450.     B-      --           *      N/A  
 69-Tm-168     815.99     50.95   EC      93.1     D     4.39E-08  
 45-Rh- 92     817.    ~ 100.     EC      2.9      S  ~  2.39E-01  
 47-Ag-120     817.1   ~  11.     B-      1.23     S  ~  6.20E-02  
 87-Fr-210     817.2    * 24.     EC      3.18     M   * 8.72E-04  
 91-Pa-217     817.6       --     Alpha   1.2     MS          N/A  
 63-Eu-144     817.7       1.56   EC      10.2     S     1.06E-03  
 51-Sb-133     817.8      18.49   B-      2.5      M     8.54E-04  
 55-Cs-122     817.9       3.09   EC      21.18    S     1.01E-03  
 71-Lu-182     818.2      30.     B-      2.0      M     1.73E-03  
 55-Cs-136     818.51     99.7    B-      13.16    D     6.08E-07  
 56-Ba-136     818.51     99.58   IT      0.3084   S     2.24E+00  
 57-La-136     818.51      2.3    EC      9.87     M     2.69E-05  
 82-Pb-189     818.8      75.     IT      22.2    US     2.34E+04  
 93-Np-232     819.5      33.92   EC      14.7     M     2.67E-04  
 82-Pb-203     820.0       6.73   IT      6.21     S     7.51E-03  
 83-Bi-203     820.2      30.     EC      11.76    H     4.91E-06  
 67-Ho-168     821.09     34.     B-      2.99     M     1.31E-03  
 71-Lu-154     821.3      99.35   EC      1.12     S     6.15E-01  
 28-Ni- 67     821.6       0.47   B-      21       S     1.55E-04  
  7-N - 18     821.71     44.54   B-      624     MS     4.95E-01  
 50-Sn-125     822.48      4.28   B-      9.64     D     3.56E-08  
 45-Rh-100     822.65     21.09   EC      20.8     H     1.95E-06  
 50-Sn-127     823.1      10.86   B-      2.10     H     9.96E-06  
 25-Mn- 60     823.4       --     B-      0.28     S          N/A  
 25-Mn- 60     823.6      85.     B-      1.77     S     3.33E-01  
 58-Ce-137     824.82      0.45   EC      34.4     H     2.52E-08  
 82-Pb-203     825.1      71.6    IT      480     MS     1.03E+00  
 83-Bi-203     825.2      14.79   EC      11.76    H     2.42E-06  
 82-Pb-203     825.3      71.6    IT      6.21     S     7.99E-02  
 75-Re-180     825.36      9.9    EC      2.44     M     4.69E-04  
 89-Ac-216     826.        --     Alpha   441     US          N/A  
 27-Co- 60     826.10    8.E-03   B-      1925.28  D          N/A  
 27-Co- 60     826.28  ~ 8.E-03   B-      10.467   M  ~       N/A  
 29-Cu- 60     826.4      21.74   EC      23.7     M     1.06E-04  
 68-Er-161     826.6      64.05   EC      3.21     H     3.84E-05  
 76-Os-181     827.0      19.9    EC      105      M     2.19E-05  
 31-Ga- 81     828.26     21.65   B-      1.217    S     1.23E-01  
 34-Se- 81     828.27      0.29   B-      18.45    M     1.82E-06  
 99-Es-250     828.9       5.49   EC      2.22     H     4.76E-06  
 48-Cd-107     828.93      0.16   EC      6.50     H     4.74E-08  
 99-Es-250     829.00     72.5    EC      8.6      H     1.62E-05  
 14-Si- 26     829.42     21.9    B+      2.234    S     6.79E-02  
 34-Se- 71     830.33      9.74   EC      4.74     M     2.37E-04  
 65-Tb-151     830.50      3.3    EC      25       S     9.15E-04  
 49-In-128     831.54    100.     B-      0.72     S     9.63E-01  
 50-Sn-128     831.54    100.     IT      6.5      S     1.07E-01  
 52-Te-109     831.6      20.73   EC      4.6      S     3.12E-02  
 37-Rb- 90     831.69     39.9    B-      158      S     1.75E-03  
 37-Rb- 90     831.69     94.09   B-      258      S     2.53E-03  
 82-Pb-211     832.01      3.52   B-      36.1     M     1.13E-05  
 47-Ag- 99     832.29     13.46   B+      124      S     7.52E-04  
 45-Rh- 96     832.52     38.52   EC      1.51     M     2.95E-03  
 45-Rh- 96     832.52    100.     EC      9.90     M     1.17E-03  
 52-Te-131     832.7    *100.     IT      93      MS   * 7.45E+00  
 29-Cu- 66     833.0       0.22   B-      5.120    M     4.96E-06  
 88-Ra-215     833.5       --     Alpha   1.55    MS          N/A  
 97-Bk-246     833.5       5.     EC      1.80     D     2.23E-07  
101-Md-256     833.5   <  13.28   EC      77       M  <  1.99E-05  
 31-Ga- 66     833.53      5.89   EC      9.49     H     1.20E-06  
 33-As- 72     833.99     81.     EC      26.0     H     6.00E-06  
 59-Pr-127     834.        --     B+      4.2      S          N/A  
 49-In-104     834.1      99.     EC      1.80     M     6.35E-03  
 31-Ga- 72     834.13     95.45   B-      14.10    H     1.30E-05  
 29-Cu- 69     834.4      13.1    B-      2.85     M     5.31E-04  
 23-V - 54     834.75     97.1    B-      49.8     S     1.35E-02  
 25-Mn- 54     834.85     99.98   EC      312.05   D     2.57E-08  
 43-Tc- 95     835.15     26.63   EC      61       D     3.50E-08  
 59-Pr-137     836.65      1.78   EC      1.28     H     2.68E-06  
 37-Rb- 94     836.9      87.01   B-      2.702    S     2.23E-01  
" 37-Rb- 95     836.9       8.73   B-,N    377.5   MS     1.60E-01  "
 87-Fr-224     836.90      9.78   B-      3.33     M     3.39E-04  
 82-Pb-203     838.5     100.     IT      480     MS     1.44E+00  
 67-Ho-158     838.9    * 78.4    EC      21.3     M   * 4.25E-04  
 51-Sb-130     839.52    100.     B-      39.5     M     2.92E-04  
 51-Sb-130     839.52    100.     B-      6.3      M     1.83E-03  
 97-Bk-243     840.     *  3.     EC      4.5      H   * 1.28E-06  
 39-Y - 97     840.1       5.2    B-      142     MS     2.54E-01  
 45-Rh- 97     840.13     12.02   EC      30.7     M     4.52E-05  
 25-Mn- 66     840.5       --     B-      65      MS          N/A  
 17-Cl- 33     840.99      0.52   EC      2.511    S     1.44E-03  
 61-Pm-152     841.4       4.05   B-      4.12     M     1.14E-04  
 63-Eu-152     841.59     14.18   EC      9.3116   H     2.93E-06  
 27-Co- 61     841.7       0.79   B-      1.650    H     9.22E-07  
 83-Bi-199     841.7    *100.     EC      --           *      N/A  
 32-Ge- 82     843.24   *  9.3    B-      4.55     S   * 1.42E-02  
 12-Mg- 27     843.76     71.8    B-      9.458    M     8.77E-04  
 42-Mo- 89     844.0       3.78   EC      2.11     M     2.07E-04  
 57-La-144     844.8      22.25   B-      40.8     S     3.78E-03  
 27-Co- 72     845.     * 80.     B-      59.9    MS   * 9.26E+00  
 22-Ti- 43     845.2       2.77   EC      509     MS     3.77E-02  
 59-Pr-128     845.3      11.2    EC      2.85     S     2.72E-02  
 36-Kr- 87     845.44      7.34   B-      76.3     M     1.11E-05  
 55-Cs-135     846.1      96.     IT      53       M     2.09E-04  
 25-Mn- 56     846.75     98.87   B-      2.5789   H     7.38E-05  
 27-Co- 56     846.77     99.94   EC      77.233   D     1.04E-07  
 53-I -134     847.        2.3    B-      3.52     M     7.55E-05  
 54-Xe-134     847.0       --     IT      5       US          N/A  
