Nucleus,Ex,T1/2,I,μ(nm),A,Z,symbol,latex
34 Se 74,635,7.08 ps,2+,,74,34,Se,$^{74}_{34}Se$
34 Se 75,0,118.5 d,5/2+,0.67(4),75,34,Se,$^{75}_{34}Se$
34 Se 76,559,11.1 ps,2+,+0.8(2),76,34,Se,$^{76}_{34}Se$
34 Se 77,0,stable,1/2-,+0.5350422(6),77,34,Se,$^{77}_{34}Se$
34 Se 78,614,8.6 ps,2+,+0.8(2),78,34,Se,$^{78}_{34}Se$
34 Se 79,0,<6.5x104 y,7/2+,-1.018(15),79,34,Se,$^{79}_{34}Se$
34 Se 80,666,8.0 ps,2+,+0.8(3),80,34,Se,$^{80}_{34}Se$
34 Se 82,654,11.3 ps,2+,+0.9(3),82,34,Se,$^{82}_{34}Se$
35 Br 72,0,79 s,(3+),0.60(10),72,35,Br,$^{72}_{35}Br$
35 Br 73,241,34.7 ns,3/2-,1.97(13),73,35,Br,$^{73}_{35}Br$
35 Br 74,14,46 m,4(+),1.68(18),74,35,Br,$^{74}_{35}Br$
35 Br 75,0,97 m,3/2-,0.76(18),75,35,Br,$^{75}_{35}Br$
35 Br 76,0,16.1 h,1-,0.54821(2),76,35,Br,$^{76}_{35}Br$
35 Br 77,0,57 h,3/2-,0.92(5),77,35,Br,$^{77}_{35}Br$
35 Br 78,0,6.46 m,1+,0.13(3),78,35,Br,$^{78}_{35}Br$
35 Br 79,0,stable,3/2-,+2.106400(4),79,35,Br,$^{79}_{35}Br$
35 Br 80,0,17.6 m,1+,0.5140(6),80,35,Br,$^{80}_{35}Br$
35 Br 81,0,stable,3/2-,+2.270562(4),81,35,Br,$^{81}_{35}Br$
35 Br 82,0,35.3 h,5-,+1.6270(5),82,35,Br,$^{82}_{35}Br$
35 Br 84,0,31.8 m,2-,1.9(7),84,35,Br,$^{84}_{35}Br$
36 Kr 75,0,4.3 m,5/2+,-0.531(4) d,75,36,Kr,$^{75}_{36}Kr$
36 Kr 77,0,74.4 m,5/2+,-0.583(3) d,77,36,Kr,$^{77}_{36}Kr$
36 Kr 78,455,22 ps,2+,+1.08(10),78,36,Kr,$^{78}_{36}Kr$
36 Kr 79,0,35.04 h,1/2-,+0.536(2) d,79,36,Kr,$^{79}_{36}Kr$
36 Kr 81,0,2.3 x 10*5 y,7/2+,-0.908(2) d,81,36,Kr,$^{81}_{36}Kr$
36 Kr 83,0,stable,9/2+,-0.970669(3),83,36,Kr,$^{83}_{36}Kr$
36 Kr 84,3236,1.84 μs,8+,-1.97(2),84,36,Kr,$^{84}_{36}Kr$
36 Kr 85,0,10.76 y,9/2+,-1.005(2) d,85,36,Kr,$^{85}_{36}Kr$
36 Kr 87,0,76.3 m,5/2+,-1.018(5),87,36,Kr,$^{87}_{36}Kr$
36 Kr 89,0,3.15 m,3/2+,-0.330(3) d,89,36,Kr,$^{89}_{36}Kr$
36 Kr 91,0,8.57 s,5/2+,-0.583(2) d,91,36,Kr,$^{91}_{36}Kr$
36 Kr 93,0,1.286 s,1/2+,-0.413(2) d,93,36,Kr,$^{93}_{36}Kr$
36 Kr 95,0,0.78 s,1/2+,-0.410(3) d,95,36,Kr,$^{95}_{36}Kr$
37 Rb 76,0,39 s,1(-),-0.3726228(14),76,37,Rb,$^{76}_{37}Rb$
37 Rb 77,0,3.8 m,3/2-,+0.6544680(16),77,37,Rb,$^{77}_{37}Rb$
37 Rb 78,103,6.3 m,4-,+2.549(2),78,37,Rb,$^{78}_{37}Rb$
37 Rb 79,0,23 m,5/2+,+3.3579(12),79,37,Rb,$^{79}_{37}Rb$
37 Rb 79,97,18.6 ns,9/2+,+5.03(7),79,37,Rb,$^{79}_{37}Rb$
37 Rb 80,0,30 s,1+,-0.0836(6),80,37,Rb,$^{80}_{37}Rb$
37 Rb 81,0,4.58 h,3/2-,+2.0595(14),81,37,Rb,$^{81}_{37}Rb$
37 Rb 82,0,1.25 m,1+,+0.5545083(11),82,37,Rb,$^{82}_{37}Rb$
37 Rb 83,0,86.2 d,5/2-,+1.4249(8),83,37,Rb,$^{83}_{37}Rb$
37 Rb 84,0,33 d,2-,-1.324116(2),84,37,Rb,$^{84}_{37}Rb$
37 Rb 85,0,stable,5/2-,+1.35298(10),85,37,Rb,$^{85}_{37}Rb$
37 Rb 86,0,18.65 d,2-,-1.6920(14),86,37,Rb,$^{86}_{37}Rb$
37 Rb 87,0,4.9 10*10y,3/2-,+2.75131(12),87,37,Rb,$^{87}_{37}Rb$
37 Rb 88,0,17.7 m,2-,0.508(5),88,37,Rb,$^{88}_{37}Rb$
37 Rb 89,0,15.2 m,3/2-,+2.3836(7),89,37,Rb,$^{89}_{37}Rb$
37 Rb 90,107,4.26 m,3-,+1.6160(6),90,37,Rb,$^{90}_{37}Rb$
37 Rb 91,0,58 s,3/2(-),+2.1815(15),91,37,Rb,$^{91}_{37}Rb$
37 Rb 93,0,5.85 s,5/2-,+1.410(2),93,37,Rb,$^{93}_{37}Rb$
37 Rb 94,0,2.73 s,3(-),+1.498(2),94,37,Rb,$^{94}_{37}Rb$
37 Rb 95,0,0.38 s,5/2-,+1.334(3),95,37,Rb,$^{95}_{37}Rb$
37 Rb 96,0,0.20 s,2+,+1.466(2),96,37,Rb,$^{96}_{37}Rb$
37 Rb 97,0,0.17 s,3/2-,+1.841(2),97,37,Rb,$^{97}_{37}Rb$
38 Sr 77,0,9 s,5/2+,-0.348(4),77,38,Sr,$^{77}_{38}Sr$
38 Sr 79,0,2.25 m,(3/2-),-0.474(4),79,38,Sr,$^{79}_{38}Sr$
38 Sr 81,0,22.3 m,1/2-,+0.543(4),81,38,Sr,$^{81}_{38}Sr$
38 Sr 82,2817,3.0 ps,5-,+2(2),82,38,Sr,$^{82}_{38}Sr$
38 Sr 83,0,32.4 h,7/2+,-0.829(2),83,38,Sr,$^{83}_{38}Sr$
38 Sr 84,793,3.2 ps,2+,+0.84(9),84,38,Sr,$^{84}_{38}Sr$
38 Sr 85,0,64.8 d,9/2+,-1.000(2),85,38,Sr,$^{85}_{38}Sr$
38 Sr 86,1077,1.46 ps,2+,+0.55(10),86,38,Sr,$^{86}_{38}Sr$
38 Sr 87,0,stable,9/2+,-1.0928(7),87,38,Sr,$^{87}_{38}Sr$
38 Sr 88,1836,0.152 ps,2+,+2.3(3),88,38,Sr,$^{88}_{38}Sr$
38 Sr 89,0,50.5 d,5/2+,-1.147(2),89,38,Sr,$^{89}_{38}Sr$
38 Sr 91,0,9.5 h,5/2+,-0.885(2),91,38,Sr,$^{91}_{38}Sr$
