nucleus,energy,lifetime,lifetime_unit,life_mult,life_sec,Z,A,symbol,latex,natural_lw,combo
15-P-36,1638.2,5.6,S,1,5.6,15,36,P,$^{36}_{15}P$,1.175e-7,36P
15-P-37,646.17,2.31,S,1,2.31,15,37,P,$^{37}_{15}P$,2.849e-7,37P
15-P-37,1582.9,2.31,S,1,2.31,15,37,P,$^{37}_{15}P$,2.849e-7,37P
15-P-37,2254.1,2.31,S,1,2.31,15,37,P,$^{37}_{15}P$,2.849e-7,37P
15-P-38,1292.3,0.64,S,1,0.64,15,38,P,$^{38}_{15}P$,1.028e-6,38P
15-P-38,2224.3,0.64,S,1,0.64,15,38,P,$^{38}_{15}P$,1.028e-6,38P
15-P-39,398.2,0.28,S,1,0.28,15,39,P,$^{39}_{15}P$,2.351e-6,39P
15-P-39,1126.2,0.28,S,1,0.28,15,39,P,$^{39}_{15}P$,2.351e-6,39P
15-P-39,1524.6,0.28,S,1,0.28,15,39,P,$^{39}_{15}P$,2.351e-6,39P
15-P-40,339.88,153,MS,0.001,0.153,15,40,P,$^{40}_{15}P$,4.302e-6,40P
15-P-40,398.61,153,MS,0.001,0.153,15,40,P,$^{40}_{15}P$,4.302e-6,40P
15-P-40,465.45,153,MS,0.001,0.153,15,40,P,$^{40}_{15}P$,4.302e-6,40P
15-P-40,903.68,150,MS,0.001,0.15,15,40,P,$^{40}_{15}P$,4.388e-6,40P
15-P-41,903.5,150,MS,0.001,0.15,15,41,P,$^{41}_{15}P$,4.388e-6,41P
15-P-41,1307.5,150,MS,0.001,0.15,15,41,P,$^{41}_{15}P$,4.388e-6,41P
15-P-41,1613.7,150,MS,0.001,0.15,15,41,P,$^{41}_{15}P$,4.388e-6,41P
16-S-28,176.4,125,MS,0.001,0.125,16,28,S,$^{28}_{16}S$,5.266e-6,28S
16-S-28,780.9,125,MS,0.001,0.125,16,28,S,$^{28}_{16}S$,5.266e-6,28S
16-S-28,957.3,125,MS,0.001,0.125,16,28,S,$^{28}_{16}S$,5.266e-6,28S
