date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:35	28853/28853	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:05%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062ez1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062ez1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/062ez1.htm)
23:53:36	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:18%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063dz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063dz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/063dz1.htm)
23:53:36	1993/1993	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:18%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063dz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063dz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/063dz1.htm)
23:53:37	32712/32712	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:06%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063bz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063bz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/063bz1.htm)
23:53:37	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:18%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063ez2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063ez2.html	(from http://img.chem.ucl.ac.uk/sgp/large/063ez1.htm)
23:53:38	1993/1993	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:18%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063ez3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063ez3.html	(from http://img.chem.ucl.ac.uk/sgp/large/063ez1.htm)
23:53:38	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:19%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063fz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063fz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/063fz1.htm)
23:53:39	1993/1993	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:19%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063fz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063fz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/063fz1.htm)
23:53:39	31554/31554	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:06%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063cz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063cz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/063cz1.htm)
23:53:39	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:20%20GMT	http://img.chem.ucl.ac.uk/sgp/large/064bz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/064bz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/064bz1.htm)
23:53:41	36292/36292	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:06%20GMT	http://img.chem.ucl.ac.uk/sgp/large/063dz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/063dz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/063dz1.htm)
23:53:41	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:21%20GMT	http://img.chem.ucl.ac.uk/sgp/large/064cz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/064cz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/064cz1.htm)
23:53:42	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:21%20GMT	http://img.chem.ucl.ac.uk/sgp/large/064cz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/064cz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/064cz1.htm)
